Alps,Piz Bernina,Lyskamm,Grand Combin,Zugspitze,Titlis,Alphubel,Antelao,Monviso,Dom,Marmolada,Triglav,Ortler,Meije,Grivola,Trugberg,Pic Sans Nom,Albaron,Todi,Olan,Olperer,Roteck,Piz Buin,Scopi
Carpathians,Gerlach,Krivan,Rysy,Swinica,Modoveanu,Negoiu,Lespezi,Peleaga,Dara,Papusa,Omu,Ocolit,Rtanj,Kekes,Bystra,Koscielec,Mnich,Kozi Wierch,Vychodna Vysoka,Cubryna,Baranie Rohy,L'adova kopa,Jahnaci stit
Icelandic Highlands,Kirkjufell,Hekla,Vestrahorn,Keilir,Kerling,Bardarbunga,Eyjafjallajokull,Katla,Magni,Modi,Maelifell,Bulandstindur,Brennisteinsalda,Hengill,Askja,Baula,Hvalnes,Snaefell,Herdubreid,Esjan,Laki,Sulur,Oshyrna,Uxatindar
Pyrenees,Aneto,Monte Perdido,Pedraforca,Cerbillona,Bisaurin,Carlit,Espadas Peak,Maladeta,Grand Tapou,Maou,Larrun,Puigmal,Anayet,Tibidabo,Jaizkibel,Coma Pedrosa,Taga,Balandrau,Siel Dera Baquo,Grand Quayrat,Comaloforno,Tuc de Mulleres,Monteixo,La Faiada
